RATE,TYPE,LOCATIONID,TS
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:38.703"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:53.598"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:53.598"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:53.598"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:07.589"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:07.589"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:07.590"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:21.424"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:21.424"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:21.424"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:35.632"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:35.632"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:35.632"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:50.108"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:50.108"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:50.108"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:04.284"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:04.285"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:04.285"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:17.521"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:17.521"
3120,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:17.521"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:31.646"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:31.646"
3120,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:31.646"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:45.551"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:45.551"
3120,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:45.551"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:58.781"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:58.781"
3120,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:52:58.781"
1560,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:16.126"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:16.126"
1980,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:16.126"
1560,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:28.881"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:28.881"
1980,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:28.881"
1560,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:41.552"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:41.552"
1980,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:41.552"
1560,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:55.010"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:55.010"
1980,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:54:55.010"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:07.456"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:07.456"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:07.456"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:20.055"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:20.055"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:20.055"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:32.462"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:32.462"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:32.462"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:44.635"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:44.636"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:44.636"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:56.662"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:56.662"
